z,mu
0.13153,38.802
0.13269,38.7841
0.13349,38.8266
0.13353,38.8434
0.13463,39.2366
0.13514,39.0775
0.13599,38.9771
0.1364,38.8475
0.13687,39.0095
0.13696,38.9616
0.13729,39.3511
0.13811,38.8857
0.13818,38.9503
0.13824,39.0229
0.13834,39.0401
0.13868,38.9999
0.13864,39.0467
0.13959,39.0213
0.1407,39.1775
0.14084,39.2835
0.14108,39.0407
0.1412,39.1237
0.14311,39.047
0.14335,39.5154
0.14344,39.1135
0.14388,39.0756
0.1441,39.016
0.14533,39.1518
0.14624,39.1857
0.14656,39.158
0.14741,39.0154
0.14729,38.9672
0.14759,39.134
0.14757,39.161
0.14812,39.2285
0.14792,39.0382
0.14819,39.0239
0.14882,39.1606
0.14923,39.1104
0.15036,39.1058
0.15067,39.1687
0.15186,39.0477
0.15272,39.3239
0.15304,39.2175
0.15317,39.0991
0.15325,39.2564
0.15339,39.3639
0.15493,39.2076
0.15509,39.278
0.15518,39.3994
0.15591,38.9704
0.15654,39.2087
0.15838,39.0794
0.15906,39.4267
0.15922,38.9503
0.15935,39.0908
0.16009,39.0428
0.15991,39.2286
0.16036,39.2057
0.16045,39.4242
0.1606,39.2162
0.16134,39.3106
0.1622,39.3252
0.16357,39.2807
0.16431,39.2634
0.16455,39.3293
0.16478,39.3182
0.16593,39.4938
0.16595,39.1817
0.16817,39.2757
0.16935,39.5155
0.1696,39.6721
0.17029,39.4742
0.17137,39.5424
0.17156,39.4603
0.17239,39.5021
0.17274,39.2676
0.17282,39.7263
0.17315,39.3871
0.17357,39.5403
0.1736,39.3493
0.17383,39.5986
0.174,39.5734
0.17405,39.3317
0.17431,39.5053
0.17427,39.5546
0.17428,39.4849
0.17483,39.7434
0.17654,39.5164
0.17697,39.5095
0.17729,39.4771
0.17769,39.3394
0.1778,39.6477
0.17839,39.9669
0.1789,39.641
0.17896,39.7672
0.17916,39.5355
0.17955,39.5509
0.17959,39.5519
0.17979,39.5962
0.1799,39.9979
0.18037,39.3688
0.18059,39.5035
0.18064,39.7166
0.18067,39.6391
0.18071,39.6151
0.1808,39.6213
0.18138,39.6585
0.18123,39.4868
0.18148,39.3953
0.18203,39.5863
0.18216,39.5259
0.18217,39.6885
0.18243,39.7821
0.18345,39.5995
0.18383,39.68
0.18376,39.752
0.18388,39.796
0.18444,39.9384
0.18443,39.7891
0.18468,39.6548
0.18482,39.613
0.18492,39.7435
0.18501,39.6347
0.18507,39.5427
0.18538,39.7882
0.18651,39.7559
0.18714,39.7694
0.18801,39.7451
0.18892,39.4384
0.18893,39.8089
0.18937,39.9359
0.18915,40.1408
0.18931,39.7413
0.18955,39.7624
0.18979,39.7286
0.19009,39.8807
0.19026,39.6892
0.1903,39.9182
0.19397,39.7983
0.19422,39.8787
0.19534,40.1343
0.19556,39.7111
0.19549,39.9082
0.19555,39.958
0.19602,39.7288
0.19611,39.7747
0.19616,39.8397
0.19624,39.8927
0.19719,39.8018
0.19726,39.6932
0.19786,39.492
0.19801,39.7561
0.19815,39.8879
0.19846,40.3246
0.1986,39.8881
0.19863,39.889
0.19892,40.0216
0.19956,39.8511
0.19948,39.6764
0.19957,39.8965
0.20062,39.6837
0.20068,39.9838
0.20074,39.7672
0.20139,39.8575
0.20216,39.6184
0.20237,39.9949
0.20268,39.8373
0.20308,39.9658
0.20314,39.8822
0.20318,39.9277
0.20323,39.9335
0.20368,39.9041
0.20454,39.8809
0.20471,39.8427
0.20515,40.1661
0.20549,39.8126
0.20699,39.9225
0.20736,40.316
0.20754,40.0725
0.20831,39.7299
0.20847,39.8758
0.20856,40.1034
0.20857,39.8639
0.20864,39.8798
0.20937,39.8413
0.21003,40.1479
0.21023,39.4543
0.21071,39.9632
0.21083,39.806
0.21099,39.9552
0.21137,40.1415
0.2116,39.9676
0.21186,39.9136
0.21214,39.9374
0.21339,40.0218
0.21353,40.0084
0.21383,39.8874
0.21442,40.0179
0.21511,39.8825
0.21513,40.4641
0.21566,40.2253
0.21653,39.8253
0.21674,40.0672
0.21677,40.0932
0.21729,40.1395
0.21781,39.9942
0.21848,40.2216
0.21884,40.1416
0.21885,40.1925
0.21887,40.1292
0.21886,40.0296
0.21943,40.0048
0.21935,40.1098
0.21982,40.0616
0.21967,40.0882
0.21976,40.2387
0.22005,39.9228
0.22055,40.1876
0.22069,40.0798
0.22141,40.0441
0.22141,40.0588
0.22157,40.1937
0.22287,40.3257
0.22335,40.1511
0.22373,40.0162
0.22451,40.1293
0.22451,39.9449
0.22482,40.1126
0.22552,40.1491
0.22534,40.1329
0.22536,40.1856
0.22563,39.9865
0.22632,40.3912
0.22714,40.097
0.22806,40.2236
0.22853,40.1604
0.22917,40.2229
0.22967,40.1351
0.23006,40.1283
0.23044,40.3062
0.23066,40.0717
0.23075,40.1049
0.23083,40.2958
0.23111,40.3169
0.2315,40.201
0.23171,40.0875
0.23212,40.2045
0.23269,39.8341
0.23356,40.1857
0.23364,40.4148
0.23381,40.1788
0.23381,40.1389
0.23475,40.1912
0.23471,40.2784
0.23483,40.158
0.23508,40.1629
0.23543,40.2336
0.2363,40.3805
0.23649,40.2636
0.23653,40.4674
0.23671,40.119
0.23684,40.2279
0.23711,40.2245
0.23735,40.7365
0.23776,40.2317
0.23954,39.9059
0.23971,40.13
0.24004,40.3847
0.24072,40.4016
0.24106,40.3291
0.24153,40.1214
0.24151,40.172
0.24207,40.564
0.24267,40.4217
0.24271,40.5734
0.24316,40.2516
0.24341,40.538
0.24405,40.2956
0.24436,40.2064
0.24449,40.1263
0.24497,40.3336
0.24512,40.4957
0.24539,40.3582
0.24594,40.4318
0.24604,40.3473
0.24637,40.378
0.24643,40.2829
0.24649,40.3907
0.24701,40.1983
0.24835,40.203
0.24848,40.4912
0.24848,40.4276
0.24851,40.3657
0.24853,40.3256
0.24883,40.427
0.24899,40.3167
0.24961,40.6733
0.24973,40.2961
0.24974,40.3915
0.25004,40.5965
0.25008,40.3764
0.2503,40.4145
0.25037,40.5692
0.25052,40.3009
